VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
1291090.9	0.230000	0.266300	0.246300	0.380600	0.272900	0.305200	0.205300
1296255.2	0.230800	0.267600	0.246500	0.379100	0.276800	0.305500	0.207600
1301419.6	0.230200	0.267400	0.243100	0.377900	0.279100	0.308000	0.204900
1306584.0	0.230900	0.268900	0.251600	0.363100	0.284000	0.311300	0.210400
1311748.3	0.233100	0.266400	0.247200	0.374000	0.283100	0.310300	0.208200
1316912.7	0.236800	0.266200	0.235700	0.378700	0.279400	0.311600	0.197500
1322077.0	0.237100	0.267300	0.241200	0.378700	0.285100	0.312300	0.204300
1327241.4	0.233900	0.266300	0.238200	0.376000	0.287400	0.314000	0.203800
1332405.8	0.233300	0.269700	0.243500	0.373200	0.290200	0.314400	0.205800
1337570.1	0.234800	0.265000	0.235900	0.378200	0.287900	0.314200	0.203200
1342734.5	0.230800	0.269500	0.241600	0.356300	0.294700	0.311900	0.209600
1347898.9	0.226700	0.259300	0.226400	0.351600	0.284000	0.302500	0.202400
1353063.2	0.213700	0.235200	0.203900	0.308900	0.260800	0.277900	0.186700
1358227.6	0.206900	0.214300	0.181400	0.281900	0.238900	0.259000	0.165400
1363391.9	0.198500	0.201400	0.173400	0.250300	0.227300	0.242600	0.160900
1368556.3	0.194100	0.188900	0.159000	0.241900	0.214000	0.232100	0.150200
1373720.7	0.188500	0.183900	0.156000	0.222100	0.208000	0.223300	0.149300
1378885.0	0.185200	0.175600	0.147800	0.212900	0.199700	0.215500	0.143900
1384049.4	0.184500	0.168400	0.143300	0.208000	0.196400	0.210800	0.139800
1389213.8	0.179900	0.163400	0.136500	0.199800	0.188200	0.201600	0.136000
1394378.1	0.178000	0.159100	0.134100	0.192400	0.185100	0.199200	0.134700
1399542.5	0.175000	0.156200	0.132600	0.187000	0.182400	0.194500	0.133800
1404706.8	0.173500	0.151800	0.125000	0.189200	0.174200	0.189900	0.128100
1409871.2	0.171700	0.150500	0.123300	0.181200	0.171700	0.187800	0.126300
1415035.6	0.168100	0.149000	0.123900	0.175200	0.170800	0.185800	0.126000
1420199.9	0.167400	0.144700	0.118200	0.176200	0.164400	0.181800	0.123800
1425364.3	0.165200	0.143900	0.117100	0.172600	0.162000	0.180500	0.122700
1430528.7	0.164800	0.141400	0.115000	0.176500	0.158500	0.176900	0.119300
1435693.0	0.162800	0.143500	0.116500	0.167200	0.160100	0.176100	0.121900
1440857.4	0.163200	0.140700	0.113800	0.172600	0.155800	0.175600	0.118900
1446021.7	0.160100	0.139900	0.115300	0.164300	0.156100	0.173300	0.120900
1451186.1	0.160100	0.139600	0.114500	0.165900	0.154200	0.171700	0.119200
1456350.5	0.157700	0.138700	0.114500	0.164300	0.153600	0.172200	0.118500
1461514.8	0.159700	0.136900	0.110500	0.171200	0.149300	0.168700	0.116100
1466679.2	0.157900	0.137000	0.111200	0.164200	0.151100	0.168600	0.116800
1471843.6	0.155200	0.137800	0.113200	0.160900	0.149400	0.167600	0.119000
1477007.9	0.155000	0.137800	0.111900	0.161700	0.147300	0.167700	0.115600
1482172.3	0.154700	0.137200	0.112800	0.160900	0.147600	0.165900	0.116700
1487336.7	0.155200	0.138000	0.112000	0.162800	0.146300	0.165800	0.116200
1492501.0	0.154400	0.135900	0.109100	0.163500	0.144300	0.165700	0.113600
1497665.4	0.155000	0.136300	0.109100	0.162900	0.143900	0.166800	0.114400
1502829.7	0.152900	0.137600	0.111400	0.158200	0.143500	0.165000	0.114900
