VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
289204.5	0.225500	0.311500	0.204100	0.300900	0.236000	0.225200	0.294500	0.229400	0.188900	0.167200	0.248600	0.257900	0.242500	0.175700	0.260300	0.262700	0.100600	0.150100	0.251300	0.187500	0.269000
294368.8	0.217300	0.302100	0.199400	0.287000	0.222600	0.223500	0.293400	0.232400	0.165500	0.144300	0.252500	0.254000	0.229600	0.154800	0.257000	0.269300	0.093200	0.132600	0.255700	0.195300	0.264900
299533.2	0.215300	0.295100	0.199600	0.287200	0.218800	0.217400	0.282900	0.228800	0.162600	0.140400	0.250300	0.248400	0.222100	0.150500	0.250600	0.265200	0.092000	0.128600	0.245200	0.189900	0.256900
304697.6	0.209600	0.287600	0.198600	0.287500	0.218200	0.212800	0.274100	0.225500	0.174100	0.152400	0.250400	0.248200	0.224600	0.162600	0.247900	0.258400	0.096200	0.136700	0.238000	0.187300	0.254900
309861.9	0.201200	0.277400	0.194200	0.281100	0.210600	0.210200	0.267200	0.223100	0.166500	0.143800	0.253700	0.247700	0.220500	0.149100	0.246500	0.257500	0.095100	0.130600	0.233800	0.186100	0.253700
315026.3	0.198400	0.272500	0.193600	0.280400	0.209500	0.205900	0.259500	0.221200	0.171000	0.149300	0.252000	0.245300	0.217900	0.155900	0.241800	0.251800	0.098300	0.135900	0.228000	0.183900	0.250300
320190.7	0.196500	0.266800	0.192600	0.272300	0.203300	0.200200	0.250400	0.224400	0.158100	0.136600	0.251300	0.240000	0.209600	0.142900	0.234500	0.253300	0.093400	0.126200	0.225600	0.185300	0.245000
325355.0	0.192000	0.259900	0.188900	0.265400	0.198000	0.197900	0.247200	0.225300	0.153800	0.125500	0.251800	0.237800	0.202900	0.132400	0.230800	0.253300	0.090900	0.119500	0.227800	0.189200	0.244800
330519.4	0.185800	0.251800	0.185700	0.260900	0.192400	0.196000	0.241400	0.222800	0.151700	0.121200	0.249700	0.234700	0.199900	0.126600	0.227800	0.249200	0.090300	0.117300	0.225100	0.188500	0.243900
335683.8	0.182100	0.247000	0.184600	0.261000	0.190500	0.192300	0.234000	0.218300	0.156000	0.124200	0.246400	0.230900	0.197500	0.129200	0.221400	0.242800	0.091900	0.118900	0.219000	0.184300	0.238200
