VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
1244611.3	0.200400	0.202200	0.170700	0.247600	0.201800	0.205300	0.309600	0.105400
1249775.7	0.205200	0.203800	0.174900	0.245500	0.206400	0.205500	0.314100	0.108600
1254940.0	0.202600	0.202900	0.177300	0.251600	0.212300	0.208100	0.308400	0.106500
1260104.4	0.204800	0.203900	0.180200	0.254200	0.217700	0.208400	0.307800	0.105900
1265268.8	0.212700	0.205600	0.187000	0.253800	0.223000	0.207600	0.315500	0.111900
1270433.1	0.213000	0.207600	0.191100	0.262900	0.231500	0.212200	0.310900	0.106700
1275597.5	0.218300	0.208300	0.199700	0.261800	0.237000	0.209300	0.318800	0.117600
1280761.8	0.224000	0.211600	0.206500	0.265800	0.245300	0.210100	0.321700	0.117100
1285926.2	0.235400	0.216300	0.214900	0.261200	0.250600	0.206900	0.330100	0.122300
1291090.6	0.224900	0.212000	0.213000	0.269400	0.257900	0.209400	0.316000	0.114100
1296254.9	0.232200	0.215000	0.217900	0.279200	0.269300	0.214100	0.319700	0.116800
1301419.3	0.229200	0.212900	0.218800	0.276800	0.270300	0.211000	0.315800	0.117000
1306583.7	0.244200	0.222600	0.220400	0.285600	0.286500	0.215600	0.315900	0.111700
1311748.0	0.243000	0.222200	0.222700	0.288500	0.290100	0.214700	0.313400	0.109700
1316912.4	0.248400	0.219000	0.235100	0.292500	0.293000	0.212200	0.326600	0.124300
1322076.7	0.249900	0.218700	0.237500	0.298700	0.300700	0.212800	0.325300	0.126700
1327241.1	0.254200	0.219700	0.243200	0.302900	0.308100	0.212600	0.325600	0.122400
1332405.5	0.260600	0.219800	0.250200	0.307100	0.314800	0.209800	0.331100	0.130700
1337569.8	0.251900	0.220300	0.245400	0.315300	0.322200	0.216400	0.317100	0.119300
1342734.2	0.265900	0.224600	0.255600	0.319900	0.329300	0.213800	0.329500	0.126100
1347898.6	0.270000	0.224800	0.258100	0.322300	0.332900	0.211800	0.334000	0.133500
1353062.9	0.249800	0.219900	0.235600	0.340000	0.339600	0.220300	0.306600	0.120200
1358227.3	0.295200	0.237000	0.261000	0.341900	0.362100	0.222600	0.341100	0.129300
1363391.6	0.275900	0.228200	0.263800	0.335500	0.344400	0.210800	0.332900	0.138700
1368556.0	0.275700	0.230000	0.262500	0.340500	0.347900	0.214100	0.331700	0.129300
1373720.4	0.275500	0.229800	0.258700	0.340400	0.340400	0.214600	0.334200	0.134500
1378884.7	0.271000	0.228800	0.253300	0.340800	0.332500	0.215400	0.333100	0.131200
1384049.1	0.263200	0.224600	0.247400	0.337400	0.323000	0.215600	0.325900	0.127600
1389213.4	0.250000	0.222200	0.228300	0.346600	0.320900	0.224900	0.309100	0.118100
1394377.8	0.256300	0.220600	0.239400	0.328500	0.307000	0.211500	0.324600	0.129000
1399542.2	0.250800	0.220500	0.233000	0.331700	0.303400	0.213100	0.320700	0.120500
1404706.5	0.255300	0.221500	0.235000	0.326300	0.298200	0.211100	0.327400	0.126200
1409870.9	0.250000	0.219400	0.231400	0.326500	0.294500	0.212500	0.323700	0.121900
1415035.3	0.265500	0.226000	0.235900	0.322300	0.293600	0.213000	0.339300	0.127300
1420199.6	0.253400	0.221800	0.229000	0.330100	0.292100	0.214100	0.331500	0.122200
1425364.0	0.245800	0.218200	0.224200	0.323600	0.282000	0.212000	0.326200	0.123300
1430528.3	0.250700	0.221000	0.223600	0.315200	0.276400	0.208100	0.333300	0.123000
1435692.7	0.230100	0.212700	0.212900	0.317100	0.270800	0.211500	0.312500	0.116800
1440857.1	0.244600	0.217600	0.218000	0.314900	0.270300	0.210000	0.331000	0.125500
1446021.4	0.235600	0.214400	0.212400	0.317100	0.266200	0.210600	0.323600	0.120400
1451185.8	0.235600	0.215100	0.210400	0.316600	0.262900	0.209300	0.324100	0.116000
1456350.1	0.228600	0.211900	0.206600	0.314800	0.260000	0.211100	0.319500	0.115800
1461514.5	0.233400	0.213900	0.209100	0.311900	0.257300	0.208400	0.326500	0.117200
1466678.9	0.232500	0.218000	0.199600	0.317800	0.260900	0.218600	0.314200	0.107600
1471843.2	0.228100	0.212000	0.204100	0.307100	0.250900	0.209000	0.322000	0.113500
