VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
852120.0	0.199200	0.240200	0.197800	0.209900	0.211600	0.224300	0.176000	0.178100	0.141000
857284.4	0.205300	0.237200	0.199300	0.210100	0.212300	0.223500	0.174800	0.178800	0.139500
862448.7	0.228700	0.242000	0.208600	0.208600	0.212600	0.224200	0.175200	0.180700	0.140300
867613.1	0.245800	0.253000	0.221700	0.210400	0.214300	0.228200	0.176700	0.179600	0.133300
872777.5	0.285400	0.253200	0.221900	0.208200	0.213300	0.226200	0.175000	0.181600	0.136400
877941.8	0.270300	0.254800	0.218800	0.204900	0.213600	0.225000	0.175000	0.180400	0.131200
883106.2	0.263000	0.255600	0.217400	0.206600	0.217800	0.228000	0.178200	0.180700	0.135400
888270.6	0.240300	0.247100	0.213000	0.205200	0.214600	0.223100	0.176800	0.183700	0.139200
893434.9	0.251400	0.268200	0.221000	0.205900	0.216100	0.231600	0.174700	0.178900	0.126000
898599.3	0.227800	0.247800	0.213100	0.205300	0.211800	0.226300	0.178100	0.188800	0.140500
903763.6	0.228300	0.251600	0.213200	0.205500	0.210600	0.227800	0.175000	0.191200	0.134900
908928.0	0.234900	0.261200	0.218500	0.206400	0.217200	0.232600	0.176200	0.187200	0.128000
914092.4	0.219800	0.250200	0.215200	0.202600	0.212300	0.226500	0.174300	0.190400	0.132200
919256.7	0.216000	0.252300	0.214100	0.202900	0.211300	0.224700	0.173100	0.187300	0.135100
924421.1	0.219900	0.261300	0.218700	0.203000	0.211200	0.226800	0.173600	0.187600	0.128800
929585.5	0.204900	0.250800	0.213500	0.203400	0.206500	0.222200	0.171500	0.190100	0.135400
934749.8	0.217600	0.262900	0.218200	0.204200	0.207300	0.225200	0.172100	0.188200	0.127500
939914.2	0.212200	0.261100	0.217200	0.203800	0.205200	0.224300	0.172500	0.190300	0.131000
945078.6	0.209000	0.256900	0.213300	0.202500	0.203100	0.221800	0.172800	0.188700	0.135900
950242.9	0.210700	0.258500	0.212300	0.203500	0.203500	0.224000	0.174000	0.191100	0.135300
955407.3	0.211800	0.259900	0.210300	0.202700	0.200100	0.223100	0.174600	0.187800	0.134800
960571.6	0.206100	0.255200	0.208400	0.204600	0.199100	0.222700	0.176500	0.190300	0.134600
965736.0	0.204400	0.255100	0.206700	0.204100	0.196200	0.221100	0.174900	0.192500	0.136800
970900.4	0.213100	0.262100	0.206100	0.199500	0.194700	0.220800	0.172600	0.185500	0.128000
976064.7	0.213700	0.255900	0.204000	0.199100	0.193700	0.219000	0.172300	0.186200	0.131100
981229.1	0.207700	0.252800	0.200500	0.200900	0.193500	0.216300	0.170800	0.188000	0.137800
986393.5	0.211500	0.257300	0.202500	0.200100	0.194600	0.217900	0.172000	0.187800	0.134900
991557.8	0.206100	0.251800	0.198000	0.200100	0.194500	0.216500	0.170800	0.190100	0.138800
996722.2	0.203500	0.250000	0.199000	0.200800	0.194100	0.216500	0.171400	0.190900	0.139800
1001886.5	0.210500	0.258700	0.199600	0.201900	0.194000	0.218500	0.173400	0.188000	0.136900
1007050.9	0.220900	0.261500	0.200900	0.199300	0.195900	0.218700	0.172200	0.186300	0.128100
1012215.3	0.206000	0.245700	0.196700	0.197800	0.193700	0.214400	0.172500	0.194100	0.143900
1017379.6	0.215900	0.257200	0.201100	0.199800	0.199300	0.219100	0.172200	0.187000	0.131600
